PID,AdoptionSpeed
1,4
2,3
7,1
9,4
11,4
12,1
25,4
33,2
34,1
35,3
43,4
50,2
51,4
52,3
53,3
55,4
62,4
67,4
69,4
70,3
73,1
74,3
75,3
76,2
80,2
86,2
88,2
91,2
92,1
94,2
104,4
107,4
112,4
113,2
115,4
116,2
118,1
120,3
121,2
126,3
127,1
134,3
137,1
139,1
140,1
150,2
154,2
157,4
159,2
165,2
178,4
182,4
183,1
186,3
191,1
192,4
196,0
197,2
198,4
199,1
203,1
214,1
217,4
219,3
226,4
228,1
230,2
235,4
240,2
241,2
242,4
245,0
247,1
248,2
249,2
252,3
256,2
261,1
264,4
265,2
267,2
270,2
271,4
272,2
273,4
276,4
278,3
279,2
280,2
292,1
296,3
304,4
305,3
308,2
313,4
314,4
321,3
324,2
325,2
331,2
336,4
337,2
351,4
358,4
364,4
366,2
367,1
376,1
378,1
383,2
384,4
385,3
388,3
389,2
390,3
393,1
395,4
396,2
398,2
399,2
401,4
403,4
405,1
408,3
411,1
412,4
419,3
420,1
421,1
427,3
431,2
435,1
437,2
438,4
441,4
444,4
445,4
446,2
447,4
450,1
453,4
462,1
464,2
467,4
469,2
471,3
473,2
475,3
478,1
485,1
488,1
489,4
498,2
499,1
503,4
506,4
507,1
508,1
509,2
512,2
513,4
517,1
518,2
522,1
523,2
524,0
529,1
530,2
531,2
532,2
534,3
535,3
536,2
540,2
549,1
551,2
554,4
558,4
560,2
568,4
571,2
574,1
575,3
577,2
581,2
594,2
611,2
614,2
615,4
618,2
619,2
627,3
630,4
631,2
645,2
648,4
653,3
661,1
671,3
675,1
678,3
679,4
680,3
684,4
688,4
705,2
707,0
710,3
715,2
716,3
717,2
719,3
720,2
723,4
725,1
727,4
731,2
735,2
737,4
742,4
745,2
748,4
751,3
755,1
758,2
759,4
763,3
766,4
767,1
769,2
771,2
774,1
777,2
778,4
785,2
789,3
795,1
796,3
799,1
800,3
805,1
806,2
807,4
810,2
811,2
813,3
814,1
820,2
825,1
828,3
836,1
843,2
847,2
851,4
853,2
860,4
868,4
869,3
876,4
884,4
890,1
891,3
892,2
897,4
905,1
906,2
917,1
918,1
920,4
922,1
923,3
931,4
932,4
937,2
943,4
947,1
948,1
953,2
959,2
966,3
971,3
972,2
981,3
984,2
989,4
990,2
996,3
998,3
1002,2
1003,4
1004,4
1007,3
1011,4
1012,4
1014,3
1015,4
1018,4
1022,2
1023,2
1024,4
1026,4
1027,2
1029,2
1037,1
1041,4
1044,1
1048,1
1050,3
1052,4
1053,1
1054,3
1056,4
1060,0
1061,4
1062,1
1065,1
1074,2
1079,1
1080,4
1083,2
1084,1
1088,3
1090,3
1098,2
1101,2
1102,2
1103,3
1104,3
1107,4
1110,3
1117,4
1120,4
1121,3
1122,4
1123,2
1130,2
1136,2
1140,1
1145,1
1146,4
1148,2
1149,3
1150,3
1151,1
1155,4
1157,2
1158,1
1160,3
1163,2
1165,1
1166,4
1171,4
1176,4
1178,1
1180,3
1183,1
1185,2
1189,2
1195,4
1196,3
1197,1
1198,4
1200,1
1205,3
1209,4
1213,1
1220,3
1223,3
1228,2
1230,2
1236,1
1238,3
1240,4
1241,2
1242,4
1243,2
1244,2
1248,4
1250,2
1261,4
1271,1
1272,4
1277,4
1281,1
1294,2
1299,1
1301,1
1304,3
1305,4
1306,4
1307,4
1309,1
1311,3
1313,4
1317,3
1322,1
1324,1
1327,1
1331,3
1333,1
1334,3
1342,4
1343,2
1344,2
1348,2
1350,2
1353,2
1355,3
1356,2
1360,1
1364,1
1366,3
1367,2
1370,4
1372,4
1375,4
1382,4
1386,2
1388,2
1395,4
1399,4
1403,1
1406,1
1407,3
1409,2
1415,3
1419,4
1424,2
1425,2
1427,2
1429,4
1437,2
1440,1
1444,3
1447,4
1448,4
1452,2
1455,1
1464,3
1466,4
1468,1
1469,4
1471,1
1472,1
1476,3
1477,1
1478,4
1480,2
1499,4
1509,2
1510,3
1511,4
1512,1
1517,1
1519,4
1521,1
1528,1
1532,1
1540,3
1544,1
1546,1
1550,1
1552,2
1553,2
1558,3
1559,2
1562,1
1564,4
1572,2
1573,1
1584,1
1589,2
1591,4
1594,3
1599,3
1607,3
1610,4
1616,2
1619,2
1623,4
1630,1
1633,3
1634,4
1638,1
1639,1
1641,4
1645,1
1647,2
1648,2
1649,4
1655,3
1662,1
1664,4
1665,3
1667,1
1669,4
1671,1
1672,2
1673,4
1674,2
1681,3
1683,1
1685,2
1686,2
1689,1
1698,1
1700,1
1712,1
1715,2
1718,4
1727,1
1728,4
1735,4
1740,4
1741,3
1742,3
1748,3
1754,4
1755,2
1756,4
1761,2
1766,1
1771,2
1772,4
1773,3
1774,2
1779,1
1781,1
1785,4
1791,3
1796,2
1800,4
1801,2
1805,2
1811,3
1815,4
1817,3
1823,3
1827,1
1828,4
1830,4
1833,1
1834,1
1838,1
1844,1
1848,1
1851,1
1852,1
1853,1
1854,1
1856,2
1858,4
1859,4
1860,3
1864,3
1865,3
1869,4
1870,2
1873,4
1874,2
1881,2
1883,3
1888,4
1889,2
1892,1
1895,2
1899,1
1902,2
1904,1
1906,1
1911,1
1912,1
1915,4
1916,1
1924,1
1935,2
1937,4
1942,4
1943,1
1944,2
1953,4
1954,4
1955,3
1959,4
1962,1
1971,2
1975,2
1978,3
1979,2
1981,3
1986,3
1989,2
1990,2
1994,1
1996,4
2002,2
2005,2
2007,4
2012,2
2017,4
2020,3
2022,1
2026,4
2027,2
2033,4
2040,4
2044,2
2045,0
2047,4
2053,4
2054,3
2062,4
2065,2
2070,1
2073,1
2074,1
2075,1
2078,1
2079,4
2083,1
2088,1
2090,3
2091,1
2095,2
2098,1
2100,3
2104,1
2106,2
2107,2
2109,4
2113,4
2119,4
2120,2
2122,1
2124,3
2128,2
2134,2
2135,1
2137,1
2139,4
2140,2
2142,3
2145,1
2149,1
2152,2
2153,2
2159,3
2163,4
2165,4
2173,4
2175,4
2185,2
2186,1
2187,3
2188,1
2191,4
2197,2
2200,4
2204,4
2205,4
2207,2
2209,3
2210,3
2211,3
2213,2
2214,1
2216,4
2218,1
2220,2
2230,4
2232,1
2233,4
2236,2
2240,2
2243,2
2244,2
2247,2
2251,3
2253,1
2254,4
2260,1
2262,1
2267,4
2274,2
2276,4
2286,1
2300,2
2304,4
2311,2
2313,1
2314,2
2320,4
2321,3
2324,4
2325,4
2326,4
2340,1
2344,4
2351,2
2353,2
2354,4
2356,4
2369,4
2371,1
2377,4
2379,2
2380,3
2381,3
2382,4
2388,2
2394,2
2408,0
2415,4
2422,2
2425,3
2427,3
2429,1
2431,2
2432,2
2434,2
2442,3
2443,2
2451,3
2460,2
2461,1
2471,2
2472,4
2473,1
2475,2
2477,4
2479,2
2481,3
2482,0
2485,3
2487,3
2492,1
2497,4
2498,4
2500,1
2501,4
2503,2
2506,4
2508,2
2509,4
2511,1
2515,3
2519,4
2524,2
2527,4
2529,4
2531,2
2534,2
2535,3
2536,3
2538,2
2539,2
2541,1
2542,4
2552,1
2553,2
2555,4
2560,2
2561,2
2568,3
2569,4
2571,2
2576,2
2581,2
2589,2
2590,1
